"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.000504","0.000107","0.000464","200","1115","2026-02-06 00:06:07"
"2","0.000479","0.000096","0.000445","200","1115","2026-02-06 00:06:07"
"3","0.000533","0.000325","0.000499","200","1115","2026-02-06 00:06:07"
"4","0.000502","0.000099","0.000467","200","1115","2026-02-06 00:06:07"
"5","0.000529","0.000092","0.000505","200","1115","2026-02-06 00:06:08"
"6","0.000507","0.000216","0.000471","200","1115","2026-02-06 00:06:08"
"7","0.000523","0.000102","0.000481","200","1115","2026-02-06 00:06:08"
"8","0.000586","0.000107","0.000560","200","1115","2026-02-06 00:06:08"
"9","0.000512","0.000109","0.000479","200","1115","2026-02-06 00:06:08"
"10","0.000501","0.000100","0.000463","200","1115","2026-02-06 00:06:08"
"11","0.000458","0.000095","0.000419","200","1115","2026-02-06 00:06:08"
"12","0.000467","0.000107","0.000435","200","1115","2026-02-06 00:06:08"
"13","0.000585","0.000111","0.000556","200","1115","2026-02-06 00:06:08"
"14","0.000562","0.000106","0.000522","200","1115","2026-02-06 00:06:09"
"15","0.000623","0.000108","0.000587","200","1115","2026-02-06 00:06:09"
"16","0.000595","0.000103","0.000559","200","1115","2026-02-06 00:06:09"
"17","0.000477","0.000103","0.000443","200","1115","2026-02-06 00:06:09"
"18","0.000523","0.000106","0.000485","200","1115","2026-02-06 00:06:09"
"19","0.000540","0.000101","0.000515","200","1115","2026-02-06 00:06:09"
"20","0.000554","0.000104","0.000520","200","1115","2026-02-06 00:06:09"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.000458","","","","",""
"Máximo","0.000623","","","","",""
"Promedio","0.000528","","","","",""
"Mediana","0.000523","","","","",""
"Desv. Estándar","0.000044","","","","",""
"Percentil 95","0.000623","","","","",""
"Percentil 99","0.000623","","","","",""
