"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.013076","0.000106","0.012883","200","9056","2026-02-03 23:18:48"
"2","0.013796","0.000105","0.013595","200","9056","2026-02-03 23:18:48"
"3","0.012812","0.000095","0.012620","200","9056","2026-02-03 23:18:48"
"4","0.013824","0.000104","0.013666","200","9056","2026-02-03 23:18:48"
"5","0.012649","0.000096","0.012497","200","9056","2026-02-03 23:18:48"
"6","0.012340","0.000099","0.012130","200","9056","2026-02-03 23:18:48"
"7","0.012363","0.000105","0.012228","200","9056","2026-02-03 23:18:48"
"8","0.012772","0.000110","0.012695","200","9056","2026-02-03 23:18:49"
"9","0.014031","0.000147","0.013861","200","9056","2026-02-03 23:18:49"
"10","0.013968","0.000103","0.013802","200","9056","2026-02-03 23:18:49"
"11","0.012999","0.000110","0.012842","200","9056","2026-02-03 23:18:49"
"12","0.012728","0.000103","0.012576","200","9056","2026-02-03 23:18:49"
"13","0.012455","0.000100","0.012287","200","9056","2026-02-03 23:18:49"
"14","0.012664","0.000096","0.012512","200","9056","2026-02-03 23:18:49"
"15","0.013371","0.000104","0.013214","200","9056","2026-02-03 23:18:49"
"16","0.013582","0.000105","0.013432","200","9056","2026-02-03 23:18:50"
"17","0.012921","0.000109","0.012768","200","9056","2026-02-03 23:18:50"
"18","0.012821","0.000112","0.012744","200","9056","2026-02-03 23:18:50"
"19","0.012758","0.000094","0.012615","200","9056","2026-02-03 23:18:50"
"20","0.012178","0.000097","0.012013","200","9056","2026-02-03 23:18:50"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.012178","","","","",""
"Máximo","0.014031","","","","",""
"Promedio","0.013005","","","","",""
"Mediana","0.012817","","","","",""
"Desv. Estándar","0.000552","","","","",""
"Percentil 95","0.014031","","","","",""
"Percentil 99","0.014031","","","","",""
