"Iteración","Planning Time (ms)","Execution Time (ms)","Total Time (ms)","Timestamp"
"1","0.0","0.0","0.000","2026-02-03 23:18:44"
"2","0.0","0.0","0.000","2026-02-03 23:18:44"
"3","0.0","0.0","0.000","2026-02-03 23:18:44"
"4","0.0","0.0","0.000","2026-02-03 23:18:45"
"5","0.0","0.0","0.000","2026-02-03 23:18:45"
"6","0.0","0.0","0.000","2026-02-03 23:18:45"
"7","0.0","0.0","0.000","2026-02-03 23:18:45"
"8","0.0","0.0","0.000","2026-02-03 23:18:45"
"9","0.0","0.0","0.000","2026-02-03 23:18:46"
"10","0.0","0.0","0.000","2026-02-03 23:18:46"
"11","0.0","0.0","0.000","2026-02-03 23:18:46"
"12","0.0","0.0","0.000","2026-02-03 23:18:46"
"13","0.0","0.0","0.000","2026-02-03 23:18:46"
"14","0.0","0.0","0.000","2026-02-03 23:18:46"
"15","0.0","0.0","0.000","2026-02-03 23:18:47"
"16","0.0","0.0","0.000","2026-02-03 23:18:47"
"17","0.0","0.0","0.000","2026-02-03 23:18:47"
"18","0.0","0.0","0.000","2026-02-03 23:18:47"
"19","0.0","0.0","0.000","2026-02-03 23:18:47"
"20","0.0","0.0","0.000","2026-02-03 23:18:48"

"ESTADÍSTICAS","","","",""
"Mínimo","0.000000","","",""
"Máximo","0.000000","","",""
"Promedio","0.000000","","",""
"Mediana","0.000000","","",""
"Desv. Estándar","0.000000","","",""
"Percentil 95","0.000000","","",""
"Percentil 99","0.000000","","",""
