"Iteración","Planning Time (ms)","Execution Time (ms)","Total Time (ms)","Timestamp"
"1","0.0","0.0","0.000","2026-02-06 00:06:19"
"2","0.0","0.0","0.000","2026-02-06 00:06:19"
"3","0.0","0.0","0.000","2026-02-06 00:06:19"
"4","0.0","0.0","0.000","2026-02-06 00:06:19"
"5","0.0","0.0","0.000","2026-02-06 00:06:20"
"6","0.0","0.0","0.000","2026-02-06 00:06:20"
"7","0.0","0.0","0.000","2026-02-06 00:06:20"
"8","0.0","0.0","0.000","2026-02-06 00:06:20"
"9","0.0","0.0","0.000","2026-02-06 00:06:20"
"10","0.0","0.0","0.000","2026-02-06 00:06:20"
"11","0.0","0.0","0.000","2026-02-06 00:06:21"
"12","0.0","0.0","0.000","2026-02-06 00:06:21"
"13","0.0","0.0","0.000","2026-02-06 00:06:21"
"14","0.0","0.0","0.000","2026-02-06 00:06:21"
"15","0.0","0.0","0.000","2026-02-06 00:06:21"
"16","0.0","0.0","0.000","2026-02-06 00:06:22"
"17","0.0","0.0","0.000","2026-02-06 00:06:22"
"18","0.0","0.0","0.000","2026-02-06 00:06:22"
"19","0.0","0.0","0.000","2026-02-06 00:06:22"
"20","0.0","0.0","0.000","2026-02-06 00:06:22"

"ESTADÍSTICAS","","","",""
"Mínimo","0.000000","","",""
"Máximo","0.000000","","",""
"Promedio","0.000000","","",""
"Mediana","0.000000","","",""
"Desv. Estándar","0.000000","","",""
"Percentil 95","0.000000","","",""
"Percentil 99","0.000000","","",""
