"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.001442","0.000104","0.001415","401","92","2026-02-03 23:18:57"
"2","0.001424","0.000089","0.001394","401","92","2026-02-03 23:18:57"
"3","0.001628","0.000110","0.001602","401","92","2026-02-03 23:18:57"
"4","0.001491","0.000103","0.001461","401","92","2026-02-03 23:18:57"
"5","0.001587","0.000105","0.001557","401","92","2026-02-03 23:18:57"
"6","0.001447","0.000104","0.001420","401","92","2026-02-03 23:18:58"
"7","0.001765","0.000102","0.001733","401","92","2026-02-03 23:18:58"
"8","0.001551","0.000096","0.001521","401","92","2026-02-03 23:18:58"
"9","0.001400","0.000104","0.001373","401","92","2026-02-03 23:18:58"
"10","0.001339","0.000095","0.001305","401","92","2026-02-03 23:18:58"
"11","0.001610","0.000127","0.001584","401","92","2026-02-03 23:18:58"
"12","0.001459","0.000108","0.001432","401","92","2026-02-03 23:18:58"
"13","0.001406","0.000109","0.001374","401","92","2026-02-03 23:18:58"
"14","0.001385","0.000091","0.001359","401","92","2026-02-03 23:18:58"
"15","0.001376","0.000096","0.001352","401","92","2026-02-03 23:18:59"
"16","0.001447","0.000108","0.001417","401","92","2026-02-03 23:18:59"
"17","0.001444","0.000092","0.001408","401","92","2026-02-03 23:18:59"
"18","0.001401","0.000110","0.001370","401","92","2026-02-03 23:18:59"
"19","0.001379","0.000098","0.001352","401","92","2026-02-03 23:18:59"
"20","0.001525","0.000095","0.001490","401","92","2026-02-03 23:18:59"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.001339","","","","",""
"Máximo","0.001765","","","","",""
"Promedio","0.001475","","","","",""
"Mediana","0.001445","","","","",""
"Desv. Estándar","0.000104","","","","",""
"Percentil 95","0.001765","","","","",""
"Percentil 99","0.001765","","","","",""
