"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.001480","0.000109","0.001441","401","92","2026-02-03 23:16:39"
"2","0.001393","0.000108","0.001359","401","92","2026-02-03 23:16:39"
"3","0.001570","0.000103","0.001528","401","92","2026-02-03 23:16:39"
"4","0.001879","0.000141","0.001838","401","92","2026-02-03 23:16:40"
"5","0.001470","0.000108","0.001444","401","92","2026-02-03 23:16:40"
"6","0.001356","0.000103","0.001328","401","92","2026-02-03 23:16:40"
"7","0.001576","0.000105","0.001530","401","92","2026-02-03 23:16:40"
"8","0.001344","0.000112","0.001313","401","92","2026-02-03 23:16:40"
"9","0.001583","0.000108","0.001553","401","92","2026-02-03 23:16:40"
"10","0.001486","0.000105","0.001456","401","92","2026-02-03 23:16:40"
"11","0.001526","0.000101","0.001496","401","92","2026-02-03 23:16:40"
"12","0.001675","0.000107","0.001638","401","92","2026-02-03 23:16:40"
"13","0.001511","0.000096","0.001481","401","92","2026-02-03 23:16:41"
"14","0.001446","0.000109","0.001410","401","92","2026-02-03 23:16:41"
"15","0.001406","0.000100","0.001377","401","92","2026-02-03 23:16:41"
"16","0.001494","0.000089","0.001466","401","92","2026-02-03 23:16:41"
"17","0.001472","0.000106","0.001434","401","92","2026-02-03 23:16:41"
"18","0.001523","0.000114","0.001495","401","92","2026-02-03 23:16:41"
"19","0.001436","0.000089","0.001405","401","92","2026-02-03 23:16:41"
"20","0.001358","0.000095","0.001322","401","92","2026-02-03 23:16:41"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.001344","","","","",""
"Máximo","0.001879","","","","",""
"Promedio","0.001499","","","","",""
"Mediana","0.001483","","","","",""
"Desv. Estándar","0.000120","","","","",""
"Percentil 95","0.001879","","","","",""
"Percentil 99","0.001879","","","","",""
