"Iteración","Planning Time (ms)","Execution Time (ms)","Total Time (ms)","Timestamp"
"1","0.0","0.0","0.000","2026-02-03 23:18:37"
"2","0.0","0.0","0.000","2026-02-03 23:18:37"
"3","0.0","0.0","0.000","2026-02-03 23:18:37"
"4","0.0","0.0","0.000","2026-02-03 23:18:37"
"5","0.0","0.0","0.000","2026-02-03 23:18:38"
"6","0.0","0.0","0.000","2026-02-03 23:18:38"
"7","0.0","0.0","0.000","2026-02-03 23:18:38"
"8","0.0","0.0","0.000","2026-02-03 23:18:38"
"9","0.0","0.0","0.000","2026-02-03 23:18:38"
"10","0.0","0.0","0.000","2026-02-03 23:18:39"
"11","0.0","0.0","0.000","2026-02-03 23:18:39"
"12","0.0","0.0","0.000","2026-02-03 23:18:39"
"13","0.0","0.0","0.000","2026-02-03 23:18:39"
"14","0.0","0.0","0.000","2026-02-03 23:18:39"
"15","0.0","0.0","0.000","2026-02-03 23:18:39"
"16","0.0","0.0","0.000","2026-02-03 23:18:40"
"17","0.0","0.0","0.000","2026-02-03 23:18:40"
"18","0.0","0.0","0.000","2026-02-03 23:18:40"
"19","0.0","0.0","0.000","2026-02-03 23:18:40"
"20","0.0","0.0","0.000","2026-02-03 23:18:40"

"ESTADÍSTICAS","","","",""
"Mínimo","0.000000","","",""
"Máximo","0.000000","","",""
"Promedio","0.000000","","",""
"Mediana","0.000000","","",""
"Desv. Estándar","0.000000","","",""
"Percentil 95","0.000000","","",""
"Percentil 99","0.000000","","",""
