"Iteración","Planning Time (ms)","Execution Time (ms)","Total Time (ms)","Timestamp"
"1","0.0","0.0","0.000","2026-02-06 00:06:15"
"2","0.0","0.0","0.000","2026-02-06 00:06:15"
"3","0.0","0.0","0.000","2026-02-06 00:06:16"
"4","0.0","0.0","0.000","2026-02-06 00:06:16"
"5","0.0","0.0","0.000","2026-02-06 00:06:16"
"6","0.0","0.0","0.000","2026-02-06 00:06:16"
"7","0.0","0.0","0.000","2026-02-06 00:06:16"
"8","0.0","0.0","0.000","2026-02-06 00:06:17"
"9","0.0","0.0","0.000","2026-02-06 00:06:17"
"10","0.0","0.0","0.000","2026-02-06 00:06:17"
"11","0.0","0.0","0.000","2026-02-06 00:06:17"
"12","0.0","0.0","0.000","2026-02-06 00:06:17"
"13","0.0","0.0","0.000","2026-02-06 00:06:17"
"14","0.0","0.0","0.000","2026-02-06 00:06:18"
"15","0.0","0.0","0.000","2026-02-06 00:06:18"
"16","0.0","0.0","0.000","2026-02-06 00:06:18"
"17","0.0","0.0","0.000","2026-02-06 00:06:18"
"18","0.0","0.0","0.000","2026-02-06 00:06:18"
"19","0.0","0.0","0.000","2026-02-06 00:06:18"
"20","0.0","0.0","0.000","2026-02-06 00:06:19"

"ESTADÍSTICAS","","","",""
"Mínimo","0.000000","","",""
"Máximo","0.000000","","",""
"Promedio","0.000000","","",""
"Mediana","0.000000","","",""
"Desv. Estándar","0.000000","","",""
"Percentil 95","0.000000","","",""
"Percentil 99","0.000000","","",""
