"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.003200","0.000097","0.003011","200","318","2026-02-06 00:06:09"
"2","0.003123","0.000102","0.002992","200","318","2026-02-06 00:06:09"
"3","0.003012","0.000099","0.002872","200","318","2026-02-06 00:06:10"
"4","0.003358","0.000098","0.003227","200","318","2026-02-06 00:06:10"
"5","0.003192","0.000114","0.003043","200","318","2026-02-06 00:06:10"
"6","0.002870","0.000105","0.002744","200","318","2026-02-06 00:06:10"
"7","0.003215","0.000102","0.003067","200","318","2026-02-06 00:06:10"
"8","0.003051","0.000094","0.002902","200","318","2026-02-06 00:06:10"
"9","0.003124","0.000118","0.002995","200","318","2026-02-06 00:06:10"
"10","0.002828","0.000105","0.002697","200","318","2026-02-06 00:06:10"
"11","0.002921","0.000115","0.002791","200","318","2026-02-06 00:06:10"
"12","0.002840","0.000106","0.002692","200","318","2026-02-06 00:06:11"
"13","0.003084","0.000116","0.002912","200","318","2026-02-06 00:06:11"
"14","0.003155","0.000110","0.003027","200","318","2026-02-06 00:06:11"
"15","0.003593","0.000125","0.003408","200","318","2026-02-06 00:06:11"
"16","0.002845","0.000105","0.002711","200","318","2026-02-06 00:06:11"
"17","0.002765","0.000105","0.002619","200","318","2026-02-06 00:06:11"
"18","0.002854","0.000092","0.002720","200","318","2026-02-06 00:06:11"
"19","0.002913","0.000125","0.002774","200","318","2026-02-06 00:06:11"
"20","0.003121","0.000128","0.002979","200","318","2026-02-06 00:06:11"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.002765","","","","",""
"Máximo","0.003593","","","","",""
"Promedio","0.003053","","","","",""
"Mediana","0.003067","","","","",""
"Desv. Estándar","0.000201","","","","",""
"Percentil 95","0.003593","","","","",""
"Percentil 99","0.003593","","","","",""
