"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.000990","0.000137","0.000963","200","103","2026-02-06 00:06:27"
"2","0.001078","0.000097","0.001037","200","103","2026-02-06 00:06:27"
"3","0.001067","0.000105","0.001024","200","103","2026-02-06 00:06:27"
"4","0.000872","0.000100","0.000838","200","103","2026-02-06 00:06:28"
"5","0.001002","0.000118","0.000970","200","103","2026-02-06 00:06:28"
"6","0.000922","0.000105","0.000882","200","103","2026-02-06 00:06:28"
"7","0.000975","0.000110","0.000947","200","103","2026-02-06 00:06:28"
"8","0.001116","0.000110","0.001087","200","103","2026-02-06 00:06:28"
"9","0.000826","0.000105","0.000799","200","103","2026-02-06 00:06:28"
"10","0.000962","0.000100","0.000935","200","103","2026-02-06 00:06:28"
"11","0.001123","0.000106","0.001089","200","103","2026-02-06 00:06:28"
"12","0.000850","0.000108","0.000826","200","103","2026-02-06 00:06:28"
"13","0.000886","0.000100","0.000856","200","103","2026-02-06 00:06:29"
"14","0.000898","0.000106","0.000867","200","103","2026-02-06 00:06:29"
"15","0.000858","0.000129","0.000827","200","103","2026-02-06 00:06:29"
"16","0.000920","0.000107","0.000880","200","103","2026-02-06 00:06:29"
"17","0.000883","0.000129","0.000858","200","103","2026-02-06 00:06:29"
"18","0.000963","0.000133","0.000926","200","103","2026-02-06 00:06:29"
"19","0.000975","0.000098","0.000924","200","103","2026-02-06 00:06:29"
"20","0.001072","0.000128","0.000998","200","103","2026-02-06 00:06:29"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.000826","","","","",""
"Máximo","0.001123","","","","",""
"Promedio","0.000962","","","","",""
"Mediana","0.000963","","","","",""
"Desv. Estándar","0.000089","","","","",""
"Percentil 95","0.001123","","","","",""
"Percentil 99","0.001123","","","","",""
