"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.001462","0.000099","0.001430","401","92","2026-02-03 23:18:55"
"2","0.001427","0.000112","0.001387","401","92","2026-02-03 23:18:55"
"3","0.001442","0.000117","0.001405","401","92","2026-02-03 23:18:55"
"4","0.001394","0.000091","0.001365","401","92","2026-02-03 23:18:55"
"5","0.001466","0.000091","0.001423","401","92","2026-02-03 23:18:55"
"6","0.001281","0.000095","0.001251","401","92","2026-02-03 23:18:55"
"7","0.001527","0.000105","0.001492","401","92","2026-02-03 23:18:55"
"8","0.001576","0.000110","0.001544","401","92","2026-02-03 23:18:55"
"9","0.001479","0.000112","0.001448","401","92","2026-02-03 23:18:56"
"10","0.001405","0.000095","0.001368","401","92","2026-02-03 23:18:56"
"11","0.001445","0.000096","0.001382","401","92","2026-02-03 23:18:56"
"12","0.001532","0.000104","0.001484","401","92","2026-02-03 23:18:56"
"13","0.001404","0.000107","0.001362","401","92","2026-02-03 23:18:56"
"14","0.001543","0.000098","0.001507","401","92","2026-02-03 23:18:56"
"15","0.001427","0.000106","0.001392","401","92","2026-02-03 23:18:56"
"16","0.001429","0.000101","0.001392","401","92","2026-02-03 23:18:56"
"17","0.001358","0.000097","0.001322","401","92","2026-02-03 23:18:56"
"18","0.001356","0.000089","0.001318","401","92","2026-02-03 23:18:57"
"19","0.001647","0.000117","0.001591","401","92","2026-02-03 23:18:57"
"20","0.001381","0.000100","0.001350","401","92","2026-02-03 23:18:57"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.001281","","","","",""
"Máximo","0.001647","","","","",""
"Promedio","0.001449","","","","",""
"Mediana","0.001435","","","","",""
"Desv. Estándar","0.000083","","","","",""
"Percentil 95","0.001647","","","","",""
"Percentil 99","0.001647","","","","",""
