"Iteración","Planning Time (ms)","Execution Time (ms)","Total Time (ms)","Timestamp"
"1","0.0","0.0","0.000","2026-02-03 23:18:41"
"2","0.0","0.0","0.000","2026-02-03 23:18:41"
"3","0.0","0.0","0.000","2026-02-03 23:18:41"
"4","0.0","0.0","0.000","2026-02-03 23:18:41"
"5","0.0","0.0","0.000","2026-02-03 23:18:41"
"6","0.0","0.0","0.000","2026-02-03 23:18:41"
"7","0.0","0.0","0.000","2026-02-03 23:18:42"
"8","0.0","0.0","0.000","2026-02-03 23:18:42"
"9","0.0","0.0","0.000","2026-02-03 23:18:42"
"10","0.0","0.0","0.000","2026-02-03 23:18:42"
"11","0.0","0.0","0.000","2026-02-03 23:18:42"
"12","0.0","0.0","0.000","2026-02-03 23:18:43"
"13","0.0","0.0","0.000","2026-02-03 23:18:43"
"14","0.0","0.0","0.000","2026-02-03 23:18:43"
"15","0.0","0.0","0.000","2026-02-03 23:18:43"
"16","0.0","0.0","0.000","2026-02-03 23:18:43"
"17","0.0","0.0","0.000","2026-02-03 23:18:43"
"18","0.0","0.0","0.000","2026-02-03 23:18:44"
"19","0.0","0.0","0.000","2026-02-03 23:18:44"
"20","0.0","0.0","0.000","2026-02-03 23:18:44"

"ESTADÍSTICAS","","","",""
"Mínimo","0.000000","","",""
"Máximo","0.000000","","",""
"Promedio","0.000000","","",""
"Mediana","0.000000","","",""
"Desv. Estándar","0.000000","","",""
"Percentil 95","0.000000","","",""
"Percentil 99","0.000000","","",""
