"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.003948","0.000106","0.003781","200","318","2026-02-03 23:16:19"
"2","0.003207","0.000105","0.003053","200","318","2026-02-03 23:16:19"
"3","0.003518","0.000106","0.003367","200","318","2026-02-03 23:16:20"
"4","0.003436","0.000104","0.003245","200","318","2026-02-03 23:16:20"
"5","0.003464","0.000099","0.003314","200","318","2026-02-03 23:16:20"
"6","0.003555","0.000096","0.003402","200","318","2026-02-03 23:16:20"
"7","0.003171","0.000097","0.003010","200","318","2026-02-03 23:16:20"
"8","0.003320","0.000110","0.003147","200","318","2026-02-03 23:16:20"
"9","0.003187","0.000103","0.003018","200","318","2026-02-03 23:16:20"
"10","0.003105","0.000093","0.002927","200","318","2026-02-03 23:16:20"
"11","0.003268","0.000096","0.003118","200","318","2026-02-03 23:16:21"
"12","0.003015","0.000103","0.002857","200","318","2026-02-03 23:16:21"
"13","0.003193","0.000104","0.003036","200","318","2026-02-03 23:16:21"
"14","0.003119","0.000111","0.002922","200","318","2026-02-03 23:16:21"
"15","0.003116","0.000100","0.002980","200","318","2026-02-03 23:16:21"
"16","0.003177","0.000104","0.002965","200","318","2026-02-03 23:16:21"
"17","0.003130","0.000113","0.002964","200","318","2026-02-03 23:16:21"
"18","0.003320","0.000102","0.003154","200","318","2026-02-03 23:16:21"
"19","0.003170","0.000102","0.003025","200","318","2026-02-03 23:16:21"
"20","0.003232","0.000095","0.003075","200","318","2026-02-03 23:16:22"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.003015","","","","",""
"Máximo","0.003948","","","","",""
"Promedio","0.003283","","","","",""
"Mediana","0.003200","","","","",""
"Desv. Estándar","0.000209","","","","",""
"Percentil 95","0.003948","","","","",""
"Percentil 99","0.003948","","","","",""
