"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.001284","0.000109","0.001258","401","92","2026-02-06 00:06:32"
"2","0.001375","0.000103","0.001346","401","92","2026-02-06 00:06:32"
"3","0.001377","0.000098","0.001348","401","92","2026-02-06 00:06:32"
"4","0.001294","0.000102","0.001262","401","92","2026-02-06 00:06:32"
"5","0.001387","0.000108","0.001355","401","92","2026-02-06 00:06:32"
"6","0.001249","0.000107","0.001222","401","92","2026-02-06 00:06:32"
"7","0.001520","0.000102","0.001482","401","92","2026-02-06 00:06:32"
"8","0.001392","0.000106","0.001366","401","92","2026-02-06 00:06:32"
"9","0.001460","0.000103","0.001432","401","92","2026-02-06 00:06:33"
"10","0.001352","0.000095","0.001317","401","92","2026-02-06 00:06:33"
"11","0.001377","0.000107","0.001348","401","92","2026-02-06 00:06:33"
"12","0.001352","0.000100","0.001327","401","92","2026-02-06 00:06:33"
"13","0.001303","0.000094","0.001279","401","92","2026-02-06 00:06:33"
"14","0.001380","0.000104","0.001350","401","92","2026-02-06 00:06:33"
"15","0.001480","0.000109","0.001455","401","92","2026-02-06 00:06:33"
"16","0.001523","0.000098","0.001489","401","92","2026-02-06 00:06:33"
"17","0.001494","0.000101","0.001465","401","92","2026-02-06 00:06:33"
"18","0.001405","0.000112","0.001375","401","92","2026-02-06 00:06:34"
"19","0.001241","0.000090","0.001203","401","92","2026-02-06 00:06:34"
"20","0.001498","0.000108","0.001471","401","92","2026-02-06 00:06:34"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.001241","","","","",""
"Máximo","0.001523","","","","",""
"Promedio","0.001387","","","","",""
"Mediana","0.001378","","","","",""
"Desv. Estándar","0.000085","","","","",""
"Percentil 95","0.001523","","","","",""
"Percentil 99","0.001523","","","","",""
