"Iteración","Planning Time (ms)","Execution Time (ms)","Total Time (ms)","Timestamp"
"1","0.0","0.0","0.000","2026-02-03 23:16:22"
"2","0.0","0.0","0.000","2026-02-03 23:16:22"
"3","0.0","0.0","0.000","2026-02-03 23:16:22"
"4","0.0","0.0","0.000","2026-02-03 23:16:22"
"5","0.0","0.0","0.000","2026-02-03 23:16:22"
"6","0.0","0.0","0.000","2026-02-03 23:16:23"
"7","0.0","0.0","0.000","2026-02-03 23:16:23"
"8","0.0","0.0","0.000","2026-02-03 23:16:23"
"9","0.0","0.0","0.000","2026-02-03 23:16:23"
"10","0.0","0.0","0.000","2026-02-03 23:16:23"
"11","0.0","0.0","0.000","2026-02-03 23:16:24"
"12","0.0","0.0","0.000","2026-02-03 23:16:24"
"13","0.0","0.0","0.000","2026-02-03 23:16:24"
"14","0.0","0.0","0.000","2026-02-03 23:16:24"
"15","0.0","0.0","0.000","2026-02-03 23:16:24"
"16","0.0","0.0","0.000","2026-02-03 23:16:24"
"17","0.0","0.0","0.000","2026-02-03 23:16:25"
"18","0.0","0.0","0.000","2026-02-03 23:16:25"
"19","0.0","0.0","0.000","2026-02-03 23:16:25"
"20","0.0","0.0","0.000","2026-02-03 23:16:25"

"ESTADÍSTICAS","","","",""
"Mínimo","0.000000","","",""
"Máximo","0.000000","","",""
"Promedio","0.000000","","",""
"Mediana","0.000000","","",""
"Desv. Estándar","0.000000","","",""
"Percentil 95","0.000000","","",""
"Percentil 99","0.000000","","",""
