"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.000428","0.000093","0.000394","200","1115","2026-02-03 23:16:17"
"2","0.000500","0.000120","0.000467","200","1115","2026-02-03 23:16:17"
"3","0.000552","0.000105","0.000507","200","1115","2026-02-03 23:16:17"
"4","0.000963","0.000094","0.000885","200","1115","2026-02-03 23:16:18"
"5","0.000464","0.000106","0.000424","200","1115","2026-02-03 23:16:18"
"6","0.000492","0.000097","0.000456","200","1115","2026-02-03 23:16:18"
"7","0.000508","0.000102","0.000480","200","1115","2026-02-03 23:16:18"
"8","0.000480","0.000105","0.000433","200","1115","2026-02-03 23:16:18"
"9","0.001201","0.000094","0.001167","200","1115","2026-02-03 23:16:18"
"10","0.000532","0.000100","0.000492","200","1115","2026-02-03 23:16:18"
"11","0.000601","0.000121","0.000564","200","1115","2026-02-03 23:16:18"
"12","0.000811","0.000100","0.000759","200","1115","2026-02-03 23:16:18"
"13","0.000498","0.000103","0.000471","200","1115","2026-02-03 23:16:18"
"14","0.000571","0.000113","0.000539","200","1115","2026-02-03 23:16:19"
"15","0.000500","0.000104","0.000470","200","1115","2026-02-03 23:16:19"
"16","0.000666","0.000114","0.000630","200","1115","2026-02-03 23:16:19"
"17","0.000672","0.000114","0.000634","200","1115","2026-02-03 23:16:19"
"18","0.000525","0.000089","0.000491","200","1115","2026-02-03 23:16:19"
"19","0.000512","0.000097","0.000485","200","1115","2026-02-03 23:16:19"
"20","0.000891","0.000104","0.000851","200","1115","2026-02-03 23:16:19"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.000428","","","","",""
"Máximo","0.001201","","","","",""
"Promedio","0.000618","","","","",""
"Mediana","0.000528","","","","",""
"Desv. Estándar","0.000195","","","","",""
"Percentil 95","0.001201","","","","",""
"Percentil 99","0.001201","","","","",""
