"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.000920","0.000112","0.000892","200","103","2026-02-03 23:16:37"
"2","0.000812","0.000093","0.000784","200","103","2026-02-03 23:16:37"
"3","0.000976","0.000105","0.000936","200","103","2026-02-03 23:16:37"
"4","0.000992","0.000099","0.000954","200","103","2026-02-03 23:16:37"
"5","0.000993","0.000107","0.000966","200","103","2026-02-03 23:16:37"
"6","0.000973","0.000093","0.000926","200","103","2026-02-03 23:16:38"
"7","0.000945","0.000115","0.000912","200","103","2026-02-03 23:16:38"
"8","0.000861","0.000099","0.000835","200","103","2026-02-03 23:16:38"
"9","0.000884","0.000131","0.000847","200","103","2026-02-03 23:16:38"
"10","0.000924","0.000098","0.000897","200","103","2026-02-03 23:16:38"
"11","0.000976","0.000105","0.000938","200","103","2026-02-03 23:16:38"
"12","0.000883","0.000120","0.000830","200","103","2026-02-03 23:16:38"
"13","0.000951","0.000092","0.000918","200","103","2026-02-03 23:16:38"
"14","0.000940","0.000104","0.000903","200","103","2026-02-03 23:16:38"
"15","0.000962","0.000117","0.000934","200","103","2026-02-03 23:16:39"
"16","0.000865","0.000097","0.000838","200","103","2026-02-03 23:16:39"
"17","0.001053","0.000098","0.001027","200","103","2026-02-03 23:16:39"
"18","0.000966","0.000104","0.000939","200","103","2026-02-03 23:16:39"
"19","0.001052","0.000104","0.001017","200","103","2026-02-03 23:16:39"
"20","0.000818","0.000109","0.000790","200","103","2026-02-03 23:16:39"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.000812","","","","",""
"Máximo","0.001053","","","","",""
"Promedio","0.000937","","","","",""
"Mediana","0.000948","","","","",""
"Desv. Estándar","0.000066","","","","",""
"Percentil 95","0.001053","","","","",""
"Percentil 99","0.001053","","","","",""
