"Iteración","Tiempo Total (s)","Tiempo Conexión (s)","TTFB (s)","Código HTTP","Tamaño Descarga (bytes)","Timestamp"
"1","0.004769","0.000114","0.004616","200","469","2026-02-03 23:18:50"
"2","0.004834","0.000138","0.004705","200","469","2026-02-03 23:18:50"
"3","0.004548","0.000108","0.004430","200","469","2026-02-03 23:18:50"
"4","0.004321","0.000102","0.004177","200","469","2026-02-03 23:18:51"
"5","0.004073","0.000105","0.003963","200","469","2026-02-03 23:18:51"
"6","0.004321","0.000116","0.004162","200","469","2026-02-03 23:18:51"
"7","0.004444","0.000157","0.004340","200","469","2026-02-03 23:18:51"
"8","0.004310","0.000096","0.004162","200","469","2026-02-03 23:18:51"
"9","0.004147","0.000097","0.004015","200","469","2026-02-03 23:18:51"
"10","0.004350","0.000130","0.004242","200","469","2026-02-03 23:18:51"
"11","0.004467","0.000087","0.004352","200","469","2026-02-03 23:18:51"
"12","0.004425","0.000095","0.004284","200","469","2026-02-03 23:18:51"
"13","0.004352","0.000130","0.004208","200","469","2026-02-03 23:18:52"
"14","0.004070","0.000137","0.003943","200","469","2026-02-03 23:18:52"
"15","0.003902","0.000119","0.003789","200","469","2026-02-03 23:18:52"
"16","0.004208","0.000095","0.004101","200","469","2026-02-03 23:18:52"
"17","0.004239","0.000117","0.004106","200","469","2026-02-03 23:18:52"
"18","0.004431","0.000131","0.004287","200","469","2026-02-03 23:18:52"
"19","0.004008","0.000110","0.003877","200","469","2026-02-03 23:18:52"
"20","0.004661","0.000107","0.004544","200","469","2026-02-03 23:18:52"

"ESTADÍSTICAS","","","","","",""
"Mínimo","0.003902","","","","",""
"Máximo","0.004834","","","","",""
"Promedio","0.004344","","","","",""
"Mediana","0.004335","","","","",""
"Desv. Estándar","0.000238","","","","",""
"Percentil 95","0.004834","","","","",""
"Percentil 99","0.004834","","","","",""
